clip_id,text,emotion,trigger,clip_path
H_YT_001,"""And I can't get rid of this picture either""",sad,neutral_unclear,clips/H_YT_001.mp4
H_YT_002,"""Why are you so sick in the head? Why can't you just be normal and not be so crazy""",Angry,neutral_unclear,clips/H_YT_002.mp4
H_YT_003,"""I wish I could see her at her first day at school""",sad,neutral_unclear,clips/H_YT_003.mp4
H_YT_004,"""to get on your knees and beg me to stay with you. You are pathetic""",disgusted,neutral_unclear,clips/H_YT_004.mp4
H_YT_005,"""How no matter how much I'd like to not hate you, I hate you even more""",Angry,neutral_unclear,clips/H_YT_005.mp4
H_YT_006,"""l'll miss you""",sad,neutral_unclear,clips/H_YT_006.mp4
H_YT_007,"""I don't understand how you can be so mean""",Angry,neutral_unclear,clips/H_YT_007.mp4
H_YT_008,"""And my mama weighs 312 pounds""	",sad,neutral_unclear,clips/H_YT_008.mp4
H_YT_009,"""So you knew and you looked me in my face""",Angry,neutral_unclear,clips/H_YT_009.mp4
H_YT_010,"""How can you live with yourself""",sad,neutral_unclear,clips/H_YT_010.mp4
H_YT_011,"""But for my part I love him not""",Angry,neutral_unclear,clips/H_YT_011.mp4
H_YT_012,"""Yet I have more cause to hate him than to love him, for what had he to do to chide at me""",Angry,neutral_unclear,clips/H_YT_012.mp4
H_YT_013,"""You have never loved me""",sad,neutral_unclear,clips/H_YT_013.mp4
H_YT_014,"""You have never understood me""",sad,neutral_unclear,clips/H_YT_014.mp4
H_YT_015,"""It is your fault that I have made nothing of my life""",Angry,neutral_unclear,clips/H_YT_015.mp4
clip_001,"""People used to tell me that you were to selfish to be a great artist""",Angry,Feeling let down,clips/clip_001.mp4
clip_002,"""The best photography, the best finishing, refining our craft""",Joy,"Desire to improve, achieve excellence",clips/clip_002.mp4
clip_003,"""My dad is dead""",Sad,Grief from losing someone,clips/clip_003.mp4
clip_004,"""Why would someone let a stranger into their home""",Angry,Frustration and fear over a perceived threat,clips/clip_004.mp4
clip_005,"“When she fell asleep I snooped, I peeked, I didn’t mind my business”",Guilt/Disappointment,Realization of doing something wrong or invading someone’s privacy,clips/clip_005.mp4
clip_006,"“Look dude, I don’t wanna be here either, okay”",Angry,Frustration from being forced into an unwanted or uncomfortable situation,clips/clip_006.mp4
clip-007,"""I care more to be loved""",Sad,Longing for affection and emotional connection,clips/clip-007.mp4
clip_008,"""I want to be loved""",Sad,Desire for acceptance and emotional connection,clips/clip_008.mp4
clip_009,“I don’t feel you appreciate me”,Sad ,Feeling undervalued or unrecognized,clips/clip_009.mp4
clip_010,"“Do you think it’s gonna go well tonight, do you think it’s gonna go well tonight?”",Fear/Anxiety,Worry about performance or uncertainty about an upcoming situation,clips/clip_010.mp4
clip_011,"“It’d be nice if you did things that I ask, it would be even nicer if you did things without me having to ask”",Disappointment,Feeling ignored or unappreciated,clips/clip_011.mp4
clip_012,"“Can you, can you get me out of this place”",Fear/Anxiety,Urgent need to escape a stressful or threatening situation,clips/clip_012.mp4
clip_013,“I don’t think I deserve forgiveness for what I have done”,Guilt,Awareness of the harm or wrongdoing one has caused,clips/clip_013.mp4
clip_014,"""So walking into this hose is easier from walking into my home""",Anxiety,Facing a situation that feels personally challenging or emotionally conflicting,clips/clip_014.mp4
clip_015,"“It’s a joy and… I don’t know, I just… I really love it. I hope I get to do more of it”",Joy,Passion and enthusiasm for an activity or craft,clips/clip_015.mp4
clip2,"""He wasn't fair, he was terrible, and he was cruel to me""",sad,,
YT_2fcd227f,It's great to feel good.,happy,,clips/YT_2fcd227f.mp4
YT_0fb0b651,"it was overwhelming, you were beside yourself.",surprised,,clips/YT_0fb0b651.mp4
YT_1cd3ec7a,"How do you not think, oh my gosh,",surprised,,clips/YT_1cd3ec7a.mp4
YT_01c4ba33,But that's not how life goes.,sad,,clips/YT_01c4ba33.mp4
YT_1cc50f02,That's hard for some parents.,sad,,clips/YT_1cc50f02.mp4
YT_1c1bf778,"it's shocking the tone, right?",surprised,,clips/YT_1c1bf778.mp4
