id,Text,clean_text,emotion,emotion_id,trigger,trigger_id,preprocessed_text_mnb
0,And I can't get rid of this picture either,and i can't get rid of this picture either,sad,1,worry for loved one,2,cannot get rid picture either
1,Why are you so sick in the head? Why can't you just be normal and not be so crazy,why are you so sick in the head why can't you just be normal and not be so crazy,angry,0,relationship conflict,0,sick head cannot normal not crazy_NEG
2,I wish I could see her at her first day at school,i wish i could see her at her first day at school,sad,1,worry for loved one,2,wish could see first day school
3,"How no matter how much I'd like to not hate you, I hate you even more",how no matter how much i'd like to not hate you i hate you even more,angry,0,relationship conflict,0,no matter_NEG much_NEG would_NEG like_NEG not hate_NEG hate_NEG even_NEG
4,I'll miss you,i'll miss you,sad,1,worry for loved one,2,miss
5,I don't understand how you can be so mean,i don't understand how you can be so mean,angry,0,relationship conflict,0,not understand_NEG mean_NEG
6,And my mama weighs 312 pounds,and my mama weighs 312 pounds,sad,1,worry for loved one,2,mama weighs 312 pound
7,So you knew and you looked me in my face,so you knew and you looked me in my face,angry,0,relationship conflict,0,knew looked face
8,How can you live with yourself,how can you live with yourself,sad,1,relationship conflict,0,live
9,But for my part I love him not,but for my part i love him not,angry,0,relationship conflict,0,part love not
10,"Yet I have more cause to hate him than to love him, for what had he to do to chide at me",yet i have more cause to hate him than to love him for what had he to do to chide at me,angry,0,relationship conflict,0,yet hate love chide
11,You have never loved me,you have never loved me,sad,1,feeling unloved,1,never loved_NEG
12,You have never understood me,you have never understood me,sad,1,feeling unloved,1,never understood_NEG
13,It is your fault that I have made nothing of my life,it is your fault that i have made nothing of my life,angry,0,feeling unloved,1,fault made nothing life
14,People used to tell me that you were too selfish to be a great artist,people used to tell me that you were too selfish to be a great artist,angry,0,feeling unloved,1,people used tell selfish great artist
15,"The best photography, the best finishing, refining our craft",the best photography the best finishing refining our craft,happy,2,excitement and enthusiasm,4,best photography best finishing refining craft
16,My dad is dead,my dad is dead,sad,1,worry for loved one,2,dad dead
17,Why would someone let a stranger into their home,why would someone let a stranger into their home,angry,0,shock_guilt,3,would someone let stranger home
